Seed 1656949570
ARCH 0|F_ID 2|LIMIT 6
before: 
8
6(174)
Melhor resultado nxn: signal_transduction_in_fibroblasts, 416, 12, 12, 1701, 0, 6, 1152011, 70317.39, 14, 0.00, 0: 50; 1: 81; 2: 105; 3: 79; 4: 68; 5: 77; 6: 86; 
signal_transduction_in_fibroblasts, 906, 10, 15, 1814, 0, 6, 1200701, 70317.39, 0, 0.00, 0: 50; 1: 60; 2: 80; 3: 101; 4: 82; 5: 75; 6: 98; 
signal_transduction_in_fibroblasts, 485, 13, 11, 1815, 0, 6, 1146510, 70317.39, 0, 0.00, 0: 50; 1: 69; 2: 81; 3: 78; 4: 81; 5: 96; 6: 91; 
signal_transduction_in_fibroblasts, 272, 11, 13, 1815, 0, 6, 1146602, 70317.39, 11, 0.00, 0: 50; 1: 64; 2: 75; 3: 90; 4: 92; 5: 87; 6: 88; 
signal_transduction_in_fibroblasts,  86, 13, 11, 1816, 0, 6, 1146588, 70317.39, 0, 0.00, 0: 50; 1: 71; 2: 70; 3: 96; 4: 82; 5: 73; 6: 104; 
signal_transduction_in_fibroblasts, 771, 10, 14, 1821, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 63; 2: 84; 3: 83; 4: 92; 5: 71; 6: 103; 
signal_transduction_in_fibroblasts, 641, 10, 14, 1821, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 66; 2: 78; 3: 78; 4: 99; 5: 81; 6: 94; 
signal_transduction_in_fibroblasts, 627, 12, 12, 1821, 0, 6, 1152017, 70317.39, 0, 0.00, 0: 50; 1: 65; 2: 87; 3: 72; 4: 86; 5: 94; 6: 92; 
signal_transduction_in_fibroblasts,   1, 13, 11, 1824, 0, 6, 1146562, 70317.39, 98, 0.00, 0: 50; 1: 65; 2: 70; 3: 94; 4: 92; 5: 81; 6: 94; 
signal_transduction_in_fibroblasts, 637, 10, 15, 1825, 0, 6, 1200965, 70317.39, 0, 0.00, 0: 50; 1: 59; 2: 82; 3: 85; 4: 93; 5: 87; 6: 90; 
signal_transduction_in_fibroblasts, 358, 10, 14, 1826, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 65; 2: 86; 3: 79; 4: 84; 5: 76; 6: 106; 
signal_transduction_in_fibroblasts, 826, 11, 13, 1827, 0, 6, 1146607, 70317.39, 0, 0.00, 0: 50; 1: 62; 2: 87; 3: 82; 4: 84; 5: 77; 6: 104; 
signal_transduction_in_fibroblasts, 381, 12, 12, 1827, 0, 6, 1152036, 70317.39, 0, 0.00, 0: 50; 1: 57; 2: 83; 3: 96; 4: 90; 5: 64; 6: 106; 
signal_transduction_in_fibroblasts, 434, 11, 13, 1829, 0, 6, 1146601, 70317.39, 0, 0.00, 0: 50; 1: 68; 2: 71; 3: 86; 4: 92; 5: 81; 6: 98; 
signal_transduction_in_fibroblasts, 636, 11, 13, 1830, 0, 6, 1146602, 70317.39, 46, 0.00, 0: 50; 1: 65; 2: 80; 3: 82; 4: 83; 5: 89; 6: 97; 
signal_transduction_in_fibroblasts, 616, 14, 10, 1830, 0, 6, 1128680, 70317.39, 22, 0.00, 0: 50; 1: 63; 2: 86; 3: 86; 4: 76; 5: 77; 6: 108; 
signal_transduction_in_fibroblasts, 672, 13, 11, 1831, 0, 6, 1146580, 70317.39, 24, 0.00, 0: 50; 1: 76; 2: 67; 3: 78; 4: 90; 5: 83; 6: 102; 
signal_transduction_in_fibroblasts, 954,  9, 16, 1834, 0, 6, 1152100, 70317.39, 0, 0.00, 0: 50; 1: 59; 2: 91; 3: 86; 4: 70; 5: 85; 6: 105; 
signal_transduction_in_fibroblasts, 660, 12, 12, 1835, 0, 6, 1151991, 70317.39, 24, 0.00, 0: 50; 1: 65; 2: 86; 3: 75; 4: 86; 5: 75; 6: 109; 
signal_transduction_in_fibroblasts, 342, 13, 11, 1835, 0, 6, 1146602, 70317.39, 0, 0.00, 0: 50; 1: 66; 2: 79; 3: 77; 4: 88; 5: 88; 6: 98; 
signal_transduction_in_fibroblasts, 584, 12, 12, 1836, 0, 6, 1151960, 70317.39, 19, 0.00, 0: 50; 1: 66; 2: 81; 3: 86; 4: 71; 5: 86; 6: 106; 
signal_transduction_in_fibroblasts, 581, 12, 12, 1838, 0, 6, 1152042, 70317.39, 0, 0.00, 0: 50; 1: 58; 2: 90; 3: 88; 4: 75; 5: 74; 6: 111; 
signal_transduction_in_fibroblasts, 442, 14, 10, 1841, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 66; 2: 75; 3: 85; 4: 75; 5: 100; 6: 95; 
signal_transduction_in_fibroblasts, 546, 11, 13, 1843, 0, 6, 1146575, 70317.39, 0, 0.00, 0: 50; 1: 67; 2: 76; 3: 88; 4: 77; 5: 76; 6: 112; 
signal_transduction_in_fibroblasts, 840, 11, 13, 1843, 0, 6, 1146636, 70317.39, 27, 0.00, 0: 50; 1: 61; 2: 69; 3: 94; 4: 96; 5: 78; 6: 98; 
signal_transduction_in_fibroblasts, 291, 14, 10, 1843, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 73; 2: 68; 3: 78; 4: 93; 5: 76; 6: 108; 
signal_transduction_in_fibroblasts, 986, 14, 10, 1845, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 63; 2: 69; 3: 103; 4: 77; 5: 77; 6: 107; 
signal_transduction_in_fibroblasts, 469, 13, 11, 1845, 0, 6, 1146622, 70317.39, 0, 0.00, 0: 50; 1: 67; 2: 71; 3: 93; 4: 81; 5: 71; 6: 113; 
signal_transduction_in_fibroblasts,  19, 14, 10, 1845, 0, 6, 1128680, 70317.39, 139, 0.00, 0: 50; 1: 54; 2: 87; 3: 92; 4: 81; 5: 75; 6: 107; 
signal_transduction_in_fibroblasts, 700, 14, 10, 1848, 0, 6, 1128680, 70317.39, 84, 0.00, 0: 50; 1: 62; 2: 76; 3: 89; 4: 76; 5: 95; 6: 98; 
signal_transduction_in_fibroblasts, 653, 14, 10, 1848, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 62; 2: 85; 3: 80; 4: 74; 5: 90; 6: 105; 
signal_transduction_in_fibroblasts,  85, 12, 12, 1848, 0, 6, 1152004, 70317.39, 0, 0.00, 0: 50; 1: 58; 2: 85; 3: 76; 4: 95; 5: 80; 6: 102; 
signal_transduction_in_fibroblasts, 244, 10, 15, 1850, 0, 6, 1200840, 70317.39, 11, 0.00, 0: 50; 1: 58; 2: 85; 3: 84; 4: 75; 5: 94; 6: 100; 
signal_transduction_in_fibroblasts, 978, 10, 15, 1850, 0, 6, 1200884, 70317.39, 0, 0.00, 0: 50; 1: 52; 2: 83; 3: 89; 4: 86; 5: 95; 6: 91; 
signal_transduction_in_fibroblasts, 380, 11, 13, 1850, 0, 6, 1146596, 70317.39, 17, 0.00, 0: 50; 1: 63; 2: 77; 3: 77; 4: 88; 5: 96; 6: 95; 
