Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
2(247)
Melhor resultado nxn: Apoptosis_network, 164,  6,  8,   83, 1, 2, 372062, 6927.79, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network, 838,  5,  9,   89, 1, 2, 353286, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 837,  7,  6,   89, 1, 2, 330624, 6927.79, 85, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 364,  7,  6,   89, 1, 2, 330624, 6927.79, 32, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 489,  7,  6,   89, 1, 2, 330624, 6927.79, 67, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 431,  6,  7,   89, 1, 2, 330624, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 163,  7,  6,   89, 1, 2, 330624, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 377,  6,  7,   89, 1, 2, 330624, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 376,  5,  9,   89, 1, 2, 353116, 6927.79, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 795,  6,  8,   89, 1, 2, 371513, 6927.79, 78, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 372,  7,  6,   89, 1, 2, 330624, 6927.79, 22, 0.00, 1: 57; 2: 16; 
Apoptosis_network,  25,  4, 12,   89, 1, 2, 371664, 6927.79, 166, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 253,  7,  6,   90, 1, 2, 330624, 6927.79, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network,  53,  6,  7,   90, 1, 2, 330624, 6927.79, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 551,  9,  5,   90, 1, 2, 353077, 6927.79, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 293,  6,  8,   90, 1, 2, 371730, 6927.79, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 504,  7,  6,   90, 1, 2, 330624, 6927.79, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 667,  6,  8,   90, 1, 2, 371748, 6927.79, 78, 0.00, 1: 56; 2: 17; 
Apoptosis_network,  56,  6,  7,   90, 1, 2, 330624, 6927.79, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 568,  6,  8,   90, 1, 2, 372169, 6927.79, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 793,  5, 10,   90, 1, 2, 384060, 6927.79, 169, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 500,  4, 11,   90, 1, 2, 346178, 6927.79, 33, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 466,  6,  7,   90, 1, 2, 330624, 6927.79, 50, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 886,  6,  7,   90, 1, 2, 330624, 6927.79, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 238,  7,  6,   90, 1, 2, 330624, 6927.79, 32, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 594,  6,  8,   90, 1, 2, 371199, 6927.79, 50, 0.00, 1: 56; 2: 17; 
Apoptosis_network,  98,  6,  8,   90, 1, 2, 371578, 6927.79, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 439,  9,  5,   90, 1, 2, 353332, 6927.79, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 812,  5, 10,   90, 1, 2, 383763, 6927.79, 56, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 516,  6,  7,   90, 1, 2, 330624, 6927.79, 146, 0.00, 1: 56; 2: 17; 
