Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
22(534)
Melhor resultado nxn: Yeast_Apoptosis, 586,  9,  9,  138, 1, 2, 639158, 48960.27, 113, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis, 208, 10,  8,  144, 1, 2, 634069, 48960.27, 80, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 685,  7, 12,  144, 1, 2, 658452, 48960.27, 32, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 180,  7, 12,  144, 1, 2, 659081, 48960.27, 6, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 679,  6, 14,  144, 1, 2, 658651, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 945,  8, 10,  144, 1, 2, 633806, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 962,  7, 12,  144, 1, 2, 658696, 48960.27, 90, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 468,  7, 12,  144, 1, 2, 658524, 48960.27, 252, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,  37,  8, 10,  144, 1, 2, 634101, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 510, 11,  7,  144, 1, 2, 613283, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 455, 10,  8,  144, 1, 2, 634021, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 534,  7, 11,  144, 1, 2, 613112, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 954,  8, 10,  144, 1, 2, 633941, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 948,  7, 12,  144, 1, 2, 659261, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 967,  7, 12,  144, 1, 2, 658831, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,  59, 10,  8,  144, 1, 2, 634062, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,  60, 10,  8,  144, 1, 2, 634076, 48960.27, 252, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 941,  8, 10,  144, 1, 2, 634166, 48960.27, 45, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 938, 11,  7,  144, 1, 2, 613216, 48960.27, 121, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 931, 10,  8,  144, 1, 2, 634433, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 417, 10,  8,  144, 1, 2, 634055, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 922,  7, 11,  144, 1, 2, 613189, 48960.27, 90, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 993,  7, 11,  144, 1, 2, 613235, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 999,  7, 12,  144, 1, 2, 658768, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 485,  6, 14,  144, 1, 2, 659138, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 998, 11,  7,  144, 1, 2, 613139, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,   6,  9,  9,  144, 1, 2, 639306, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 498,  8, 10,  144, 1, 2, 634307, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,  10,  9,  9,  144, 1, 2, 639267, 48960.27, 45, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 499, 11,  7,  144, 1, 2, 613067, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,  12,  6, 14,  144, 1, 2, 658912, 48960.27, 180, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 350,  8, 10,  144, 1, 2, 634109, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,  14,  7, 11,  144, 1, 2, 613216, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 502,  6, 14,  144, 1, 2, 658642, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 507,  8, 10,  144, 1, 2, 634103, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,  27,  9,  9,  144, 1, 2, 639103, 48960.27, 86, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis,  28,  7, 12,  144, 1, 2, 658924, 48960.27, 252, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 980,  6, 13,  144, 1, 2, 619623, 48960.27, 252, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 970,  6, 13,  144, 1, 2, 619335, 48960.27, 90, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 641,  8, 10,  144, 1, 2, 634020, 48960.27, 64, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 616,  7, 12,  144, 1, 2, 658470, 48960.27, 32, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 612,  6, 13,  144, 1, 2, 619360, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 129,  8, 10,  144, 1, 2, 634203, 48960.27, 102, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 877,  7, 12,  144, 1, 2, 658467, 48960.27, 45, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 117, 11,  7,  144, 1, 2, 613219, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 575,  7, 11,  144, 1, 2, 613090, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 112,  6, 14,  144, 1, 2, 658896, 48960.27, 67, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 618, 11,  7,  144, 1, 2, 613158, 48960.27, 68, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 388,  6, 14,  144, 1, 2, 658097, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 110,  8, 10,  144, 1, 2, 633993, 48960.27, 78, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 893,  9,  9,  144, 1, 2, 639258, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 903,  7, 12,  144, 1, 2, 658700, 48960.27, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 588, 10,  8,  144, 1, 2, 633928, 48960.27, 252, 0.00, 1: 80; 2: 32; 
