Seed 1656949570
ARCH 0|F_ID 2|LIMIT 5
before: 
06(618)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 473,  8,  8,  461, 0, 6, 506506, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 47; 3: 31; 4: 25; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 186,  8,  8,  470, 0, 6, 506483, 26569.10, 0, 0.00, 0: 5; 1: 57; 2: 50; 3: 41; 4: 23; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 402,  8,  8,  470, 0, 6, 506541, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 43; 3: 32; 4: 26; 5: 20; 6: 3; 
T-LGL_Survival_Network_2011, 460,  9,  7,  470, 0, 6, 499180, 26569.10, 7, 0.00, 0: 5; 1: 67; 2: 41; 3: 33; 4: 26; 5: 20; 6: 3; 
T-LGL_Survival_Network_2011, 230,  7,  9,  470, 0, 6, 499191, 26569.10, 0, 0.00, 0: 5; 1: 68; 2: 33; 3: 45; 4: 22; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 175,  9,  7,  470, 0, 6, 499192, 26569.10, 0, 0.00, 0: 5; 1: 61; 2: 50; 3: 33; 4: 23; 5: 20; 6: 3; 
T-LGL_Survival_Network_2011,  89,  8,  8,  470, 0, 6, 506494, 26569.10, 0, 0.00, 0: 5; 1: 59; 2: 55; 3: 28; 4: 26; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 174,  9,  7,  470, 0, 6, 499183, 26569.10, 0, 0.00, 0: 5; 1: 59; 2: 52; 3: 32; 4: 27; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 219,  8,  8,  470, 0, 6, 506531, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 40; 3: 42; 4: 27; 5: 15; 6: 3; 
T-LGL_Survival_Network_2011,  45,  9,  7,  470, 0, 6, 499201, 26569.10, 0, 0.00, 0: 5; 1: 64; 2: 47; 3: 29; 4: 28; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 338,  8,  8,  470, 0, 6, 506494, 26569.10, 0, 0.00, 0: 5; 1: 61; 2: 48; 3: 36; 4: 23; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 334,  8,  8,  470, 0, 6, 506504, 26569.10, 0, 0.00, 0: 5; 1: 62; 2: 46; 3: 39; 4: 19; 5: 21; 6: 3; 
T-LGL_Survival_Network_2011, 817,  7,  9,  470, 0, 6, 499206, 26569.10, 0, 0.00, 0: 5; 1: 62; 2: 45; 3: 36; 4: 28; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 381,  6, 11,  470, 0, 6, 521870, 26569.10, 0, 0.00, 0: 5; 1: 62; 2: 48; 3: 34; 4: 27; 5: 12; 6: 7; 
