Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
2(684)
Melhor resultado nxn: Apoptosis_network, 569,  6,  7,   83, 1, 2, 330624, 7209.36, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network, 681,  5,  9,   88, 1, 2, 353595, 7209.36, 67, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 679,  5, 10,   88, 1, 2, 384019, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 253,  7,  6,   88, 1, 2, 330624, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 261,  9,  5,   88, 1, 2, 353437, 7209.36, 86, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 672,  5, 10,   88, 1, 2, 384026, 7209.36, 6, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 554,  4, 11,   88, 1, 2, 345897, 7209.36, 97, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 266,  5,  9,   88, 1, 2, 353221, 7209.36, 54, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 267,  7,  6,   88, 1, 2, 330624, 7209.36, 6, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 376,  5,  9,   88, 1, 2, 353170, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 401,  9,  5,   88, 1, 2, 353198, 7209.36, 24, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 273,  6,  8,   88, 1, 2, 371694, 7209.36, 33, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 372,  7,  6,   88, 1, 2, 330624, 7209.36, 22, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 571,  6,  8,   88, 1, 2, 371386, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 277,  5, 10,   88, 1, 2, 384007, 7209.36, 86, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 369,  6,  8,   88, 1, 2, 371990, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 367,  6,  8,   88, 1, 2, 371861, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 572,  7,  6,   88, 1, 2, 330624, 7209.36, 1, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 656,  6,  8,   88, 1, 2, 372127, 7209.36, 80, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 288,  5,  9,   88, 1, 2, 353149, 7209.36, 5, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 797,  6,  8,   88, 1, 2, 371713, 7209.36, 86, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 875,  6,  8,   88, 1, 2, 372063, 7209.36, 115, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 772,  5, 10,   88, 1, 2, 383829, 7209.36, 58, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  28,  6,  8,   88, 1, 2, 371746, 7209.36, 58, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 958,  6,  7,   88, 1, 2, 330624, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 879,  6,  8,   88, 1, 2, 371463, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  33,  5, 10,   88, 1, 2, 384150, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 787,  5, 10,   88, 1, 2, 384426, 7209.36, 6, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 789,  5,  9,   88, 1, 2, 353176, 7209.36, 86, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 790,  6,  8,   88, 1, 2, 372052, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  36,  9,  5,   88, 1, 2, 353264, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 161,  6,  8,   88, 1, 2, 371686, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 839,  7,  6,   88, 1, 2, 330624, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 943,  5, 10,   88, 1, 2, 384566, 7209.36, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  53,  6,  7,   88, 1, 2, 330624, 7209.36, 0, 0.00, 1: 58; 2: 15; 
