Seed 1656949570
ARCH 2|F_ID 1|LIMIT 6
before: 
05(206)
macrophave_activation, 613, 12, 29, 1008, 1, 5, 2821295, 68883.01, 0, 0.00, 1: 180; 2: 238; 3: 69; 4: 25; 5: 9; 
macrophave_activation, 903, 18, 18, 1008, 1, 5, 2616136, 68883.01, 0, 0.00, 1: 198; 2: 206; 3: 75; 4: 37; 5: 5; 
macrophave_activation, 777, 16, 21, 1008, 1, 5, 2696474, 68883.01, 235, 0.00, 1: 199; 2: 208; 3: 76; 4: 25; 5: 13; 
macrophave_activation, 169, 14, 23, 1009, 1, 5, 2635731, 68883.01, 230, 0.00, 1: 205; 2: 199; 3: 74; 4: 31; 5: 12; 
macrophave_activation, 120, 14, 24, 1009, 1, 5, 2696373, 68883.01, 96, 0.00, 1: 192; 2: 220; 3: 67; 4: 34; 5: 8; 
macrophave_activation, 118, 19, 17, 1009, 1, 5, 2600099, 68883.01, 0, 0.00, 1: 199; 2: 205; 3: 73; 4: 39; 5: 5; 
macrophave_activation, 258, 12, 27, 1010, 1, 5, 2616156, 68883.01, 0, 0.00, 1: 200; 2: 201; 3: 80; 4: 32; 5: 8; 
macrophave_activation, 546, 13, 26, 1010, 1, 5, 2727168, 68883.01, 0, 0.00, 1: 201; 2: 199; 3: 80; 4: 34; 5: 7; 
macrophave_activation, 490, 17, 19, 1010, 1, 5, 2600107, 68883.01, 182, 0.00, 1: 189; 2: 223; 3: 68; 4: 34; 5: 7; 
macrophave_activation, 767, 16, 21, 1011, 1, 5, 2696112, 68883.01, 0, 0.00, 1: 196; 2: 215; 3: 66; 4: 33; 5: 11; 
macrophave_activation, 919, 14, 24, 1011, 1, 5, 2696295, 68883.01, 0, 0.00, 1: 206; 2: 196; 3: 72; 4: 38; 5: 9; 
macrophave_activation, 708, 12, 28, 1012, 1, 5, 2696574, 68883.01, 0, 0.00, 1: 194; 2: 212; 3: 75; 4: 31; 5: 9; 
macrophave_activation, 430, 15, 22, 1012, 1, 5, 2658233, 68883.01, 0, 0.00, 1: 201; 2: 200; 3: 81; 4: 27; 5: 12; 
macrophave_activation, 590, 18, 18, 1012, 1, 5, 2616098, 68883.01, 0, 0.00, 1: 189; 2: 222; 3: 69; 4: 33; 5: 8; 
macrophave_activation, 916, 17, 19, 1012, 1, 5, 2600101, 68883.01, 0, 0.00, 1: 199; 2: 206; 3: 72; 4: 35; 5: 9; 
