Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
82(298)
Melhor resultado nxn: Yeast_Apoptosis, 315,  9,  9,  140, 1, 2, 639179, 14433.87, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 397,  7, 12,  145, 1, 2, 658534, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis,  21, 10,  8,  145, 1, 2, 634120, 14433.87, 85, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis,  35, 11,  7,  145, 1, 2, 613274, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 738,  7, 11,  145, 1, 2, 613318, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis,  48,  7, 12,  145, 1, 2, 658590, 14433.87, 32, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 360,  6, 13,  145, 1, 2, 619603, 14433.87, 32, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 991,  7, 11,  145, 1, 2, 613092, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 454,  6, 13,  145, 1, 2, 619682, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 649,  8, 10,  145, 1, 2, 634139, 14433.87, 128, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis,  71,  6, 13,  145, 1, 2, 619472, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis,  83,  9,  9,  145, 1, 2, 639190, 14433.87, 30, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 895,  6, 13,  145, 1, 2, 619441, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 320,  7, 11,  145, 1, 2, 613230, 14433.87, 176, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 104,  6, 13,  145, 1, 2, 619467, 14433.87, 32, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 282, 10,  8,  145, 1, 2, 633706, 14433.87, 187, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 597,  6, 13,  145, 1, 2, 619358, 14433.87, 85, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 985,  7, 12,  145, 1, 2, 658797, 14433.87, 154, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 752, 11,  7,  145, 1, 2, 613143, 14433.87, 4, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 592,  7, 12,  145, 1, 2, 658863, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 273,  7, 12,  145, 1, 2, 658685, 14433.87, 248, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 311,  9,  9,  145, 1, 2, 639105, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 573,  8, 10,  145, 1, 2, 634097, 14433.87, 0, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis, 735,  7, 11,  146, 1, 2, 613296, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 289,  7, 12,  146, 1, 2, 659064, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 396,  7, 12,  146, 1, 2, 658831, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 508, 11,  7,  146, 1, 2, 613125, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 514, 10,  8,  146, 1, 2, 634249, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 442,  8, 10,  146, 1, 2, 633975, 14433.87, 0, 0.00, 1: 78; 2: 34; 
