Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
242(251)
Melhor resultado nxn: PC12_Cell_Differentiation, 229,  8,  8,  146, 1, 2, 508032, 15314.41, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation,  45, 10,  7,  150, 1, 2, 554426, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 583,  5, 14,  150, 1, 2, 554337, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 911,  5, 13,  150, 1, 2, 515840, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation,  58,  6, 11,  150, 1, 2, 525317, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 332,  6, 12,  150, 1, 2, 566104, 15314.41, 176, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation,   6,  6, 12,  150, 1, 2, 566130, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 760,  8,  8,  150, 1, 2, 508032, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 811, 11,  6,  150, 1, 2, 525306, 15314.41, 75, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 637,  8,  8,  150, 1, 2, 508032, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 816,  7, 10,  150, 1, 2, 554287, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 828,  5, 13,  150, 1, 2, 515840, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 714,  8,  8,  150, 1, 2, 508032, 15314.41, 45, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation,  22,  8,  8,  150, 1, 2, 508032, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 728,  8,  9,  150, 1, 2, 566324, 15314.41, 56, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 832,  8,  8,  150, 1, 2, 508032, 15314.41, 208, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 731,  6, 12,  150, 1, 2, 566257, 15314.41, 235, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 174, 10,  7,  150, 1, 2, 554421, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 325,  8,  9,  150, 1, 2, 566107, 15314.41, 85, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation, 743, 11,  6,  150, 1, 2, 525281, 15314.41, 0, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation,  11,  6, 12,  150, 1, 2, 566303, 15314.41, 228, 0.00, 1: 68; 2: 41; 
PC12_Cell_Differentiation,  38,  8,  8,  151, 1, 2, 508032, 15314.41, 0, 0.00, 1: 67; 2: 42; 
PC12_Cell_Differentiation, 113,  6, 12,  151, 1, 2, 566446, 15314.41, 0, 0.00, 1: 67; 2: 42; 
PC12_Cell_Differentiation, 435,  8,  8,  151, 1, 2, 508032, 15314.41, 0, 0.00, 1: 67; 2: 42; 
PC12_Cell_Differentiation, 698,  7, 10,  151, 1, 2, 554463, 15314.41, 0, 0.00, 1: 67; 2: 42; 
PC12_Cell_Differentiation, 922,  6, 12,  151, 1, 2, 566182, 15314.41, 46, 0.00, 1: 67; 2: 42; 
