Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
24(811)
IGVH_mutations_in_chronic_lymphocytic_leukemia, 868, 12,  8,  243, 0, 4, 764357, 25006.03, 80, 0.00, 0: 25; 1: 56; 2: 32; 3: 25; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 484,  8, 12,  244, 0, 4, 764406, 25006.03, 44, 0.00, 0: 25; 1: 61; 2: 27; 3: 19; 4: 18; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 271,  9, 11,  244, 0, 4, 785975, 25006.03, 0, 0.00, 0: 25; 1: 55; 2: 34; 3: 23; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  95, 11,  9,  244, 0, 4, 786052, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 33; 3: 22; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 299, 10, 10,  244, 0, 4, 795991, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 29; 3: 21; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 900, 12,  8,  244, 0, 4, 764320, 25006.03, 84, 0.00, 0: 25; 1: 55; 2: 37; 3: 17; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 891,  8, 12,  244, 0, 4, 764398, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 27; 3: 22; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 183, 10, 10,  244, 0, 4, 796035, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 28; 3: 20; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 180,  9, 11,  244, 0, 4, 786058, 25006.03, 19, 0.00, 0: 25; 1: 57; 2: 31; 3: 23; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 461, 12,  8,  244, 0, 4, 764343, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 28; 3: 20; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 376,  8, 12,  244, 0, 4, 764431, 25006.03, 38, 0.00, 0: 25; 1: 58; 2: 33; 3: 16; 4: 18; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 293,  9, 11,  244, 0, 4, 785896, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 26; 3: 24; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 840, 11,  9,  244, 0, 4, 786078, 25006.03, 78, 0.00, 0: 25; 1: 57; 2: 29; 3: 27; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  56, 12,  8,  244, 0, 4, 764381, 25006.03, 10, 0.00, 0: 25; 1: 53; 2: 40; 3: 17; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 171,  8, 12,  244, 0, 4, 764429, 25006.03, 0, 0.00, 0: 25; 1: 55; 2: 36; 3: 19; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 382,  8, 12,  244, 0, 4, 764356, 25006.03, 0, 0.00, 0: 25; 1: 55; 2: 36; 3: 19; 4: 15; 
