Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
43(480)
Melhor resultado nxn: Yeast_Apoptosis, 836,  9,  9,  145, 1, 3, 639081, 17070.56, 75, 0.00, 1: 81; 2: 29; 3: 2; 
Yeast_Apoptosis, 773,  6, 14,  150, 1, 3, 658685, 17070.56, 86, 0.00, 1: 80; 2: 26; 3: 6; 
Yeast_Apoptosis,  27,  9,  9,  150, 1, 3, 638385, 17070.56, 187, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis,  13,  6, 14,  150, 1, 3, 659173, 17070.56, 127, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis, 467,  6, 14,  150, 1, 3, 658124, 17070.56, 186, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis, 544,  7, 11,  150, 1, 3, 613006, 17070.56, 6, 0.00, 1: 80; 2: 26; 3: 6; 
Yeast_Apoptosis, 533,  8, 10,  150, 1, 3, 634035, 17070.56, 0, 0.00, 1: 78; 2: 30; 3: 4; 
Yeast_Apoptosis, 116,  8, 10,  150, 1, 3, 634078, 17070.56, 29, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 115,  6, 13,  150, 1, 3, 619601, 17070.56, 0, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 788,  6, 13,  150, 1, 3, 619372, 17070.56, 75, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 910,  9,  9,  150, 1, 3, 639628, 17070.56, 0, 0.00, 1: 82; 2: 22; 3: 8; 
Yeast_Apoptosis, 883, 10,  8,  150, 1, 3, 634240, 17070.56, 0, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 908,  9,  9,  150, 1, 3, 638870, 17070.56, 75, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 779,  8, 10,  150, 1, 3, 634258, 17070.56, 187, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis, 603, 10,  8,  150, 1, 3, 634464, 17070.56, 187, 0.00, 1: 80; 2: 26; 3: 6; 
Yeast_Apoptosis, 405,  6, 13,  150, 1, 3, 619331, 17070.56, 0, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 952,  7, 12,  150, 1, 3, 658504, 17070.56, 0, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis, 592,  7, 12,  150, 1, 3, 658321, 17070.56, 0, 0.00, 1: 81; 2: 24; 3: 7; 
Yeast_Apoptosis, 527,  6, 13,  150, 1, 3, 619099, 17070.56, 0, 0.00, 1: 78; 2: 30; 3: 4; 
Yeast_Apoptosis, 784,  8, 10,  150, 1, 3, 633900, 17070.56, 48, 0.00, 1: 78; 2: 30; 3: 4; 
Yeast_Apoptosis, 744,  6, 14,  151, 1, 3, 658683, 17070.56, 32, 0.00, 1: 76; 2: 33; 3: 3; 
Yeast_Apoptosis, 235, 10,  8,  151, 1, 3, 633847, 17070.56, 101, 0.00, 1: 78; 2: 29; 3: 5; 
Yeast_Apoptosis, 715,  6, 13,  151, 1, 3, 619533, 17070.56, 187, 0.00, 1: 77; 2: 31; 3: 4; 
Yeast_Apoptosis, 256,  8, 10,  151, 1, 3, 633958, 17070.56, 192, 0.00, 1: 75; 2: 35; 3: 2; 
Yeast_Apoptosis, 703,  8, 10,  151, 1, 3, 634426, 17070.56, 0, 0.00, 1: 80; 2: 25; 3: 7; 
Yeast_Apoptosis, 735,  7, 11,  151, 1, 3, 613213, 17070.56, 0, 0.00, 1: 76; 2: 33; 3: 3; 
Yeast_Apoptosis, 717,  7, 12,  151, 1, 3, 658412, 17070.56, 86, 0.00, 1: 76; 2: 33; 3: 3; 
