Seed 1656949570
ARCH 0|F_ID 2|LIMIT 2
before: 
02(970)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 938,  6,  6,   47, 0, 2, 281786, 5444.15, 0, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 870,  6,  6,   52, 0, 2, 281792, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 109,  5,  7,   52, 0, 2, 274295, 5444.15, 121, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 892,  9,  4,   52, 0, 2, 281801, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway,  16,  5,  8,   52, 0, 2, 308292, 5444.15, 208, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 910,  9,  4,   52, 0, 2, 281790, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 104,  4,  9,   52, 0, 2, 281782, 5444.15, 32, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway,  92,  5,  8,   52, 0, 2, 308326, 5444.15, 244, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 941,  5,  7,   52, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 780,  5,  8,   52, 0, 2, 308260, 5444.15, 244, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway,  99,  4,  9,   52, 0, 2, 281798, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 784,  4,  9,   52, 0, 2, 281774, 5444.15, 32, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 942,  4, 10,   52, 0, 2, 308299, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway,  94,  5,  8,   52, 0, 2, 308303, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 957,  5,  8,   52, 0, 2, 308297, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway,  44,  4,  9,   52, 0, 2, 281795, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway,  43,  4, 10,   52, 0, 2, 308239, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 706,  4,  9,   52, 0, 2, 281792, 5444.15, 139, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 900,  5,  8,   52, 0, 2, 308269, 5444.15, 244, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 705,  7,  5,   52, 0, 2, 274295, 5444.15, 133, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 126,  5,  8,   52, 0, 2, 308320, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 823,  4, 10,   52, 0, 2, 308128, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 697,  9,  4,   52, 0, 2, 281806, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 687,  4,  9,   52, 0, 2, 281796, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 222,  4, 10,   53, 0, 2, 308285, 5444.15, 0, 0.00, 0: 2; 1: 29; 2: 12; 
Cholesterol_Regulatory_Pathway, 832,  5,  8,   53, 0, 2, 308306, 5444.15, 80, 0.00, 0: 2; 1: 29; 2: 12; 
Cholesterol_Regulatory_Pathway, 934,  6,  6,   53, 0, 2, 281789, 5444.15, 0, 0.00, 0: 2; 1: 29; 2: 12; 
