Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
723(536)
Lymphopoiesis_Regulatory_Network, 661,  9, 10,  202, 1, 3, 714306, 25754.62, 0, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 668,  9, 10,  202, 1, 3, 714280, 25754.62, 52, 0.00, 1: 120; 2: 32; 3: 6; 
Lymphopoiesis_Regulatory_Network, 620,  7, 12,  202, 1, 3, 668740, 25754.62, 6, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 582,  8, 11,  202, 1, 3, 700557, 25754.62, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 447,  9, 10,  202, 1, 3, 714439, 25754.62, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 473,  7, 13,  202, 1, 3, 721011, 25754.62, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 451,  8, 11,  202, 1, 3, 700439, 25754.62, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 777,  9, 10,  202, 1, 3, 714520, 25754.62, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 728,  8, 11,  202, 1, 3, 700241, 25754.62, 57, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 991,  8, 11,  202, 1, 3, 700406, 25754.62, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 158, 11,  8,  202, 1, 3, 700492, 25754.62, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 741,  9,  9,  202, 1, 3, 644760, 25754.62, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 590, 11,  8,  202, 1, 3, 700415, 25754.62, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 579, 11,  8,  202, 1, 3, 700420, 25754.62, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network,  51,  9, 10,  202, 1, 3, 714266, 25754.62, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 859,  7, 13,  202, 1, 3, 720833, 25754.62, 0, 0.00, 1: 121; 2: 30; 3: 7; 
Lymphopoiesis_Regulatory_Network, 784,  9, 10,  202, 1, 3, 714561, 25754.62, 61, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 786,  8, 11,  202, 1, 3, 700573, 25754.62, 0, 0.00, 1: 121; 2: 30; 3: 7; 
Lymphopoiesis_Regulatory_Network,  49,  9, 10,  202, 1, 3, 714368, 25754.62, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 529, 11,  8,  202, 1, 3, 700498, 25754.62, 0, 0.00, 1: 120; 2: 32; 3: 6; 
Lymphopoiesis_Regulatory_Network, 690,  6, 14,  202, 1, 3, 668769, 25754.62, 0, 0.00, 1: 120; 2: 32; 3: 6; 
Lymphopoiesis_Regulatory_Network, 975,  7, 13,  202, 1, 3, 720723, 25754.62, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 536,  7, 13,  202, 1, 3, 720706, 25754.62, 43, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 595, 11,  8,  202, 1, 3, 700466, 25754.62, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network,  52,  8, 11,  202, 1, 3, 700676, 25754.62, 3, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 570,  9,  9,  202, 1, 3, 644760, 25754.62, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 551,  9,  9,  202, 1, 3, 644760, 25754.62, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network,  71,  7, 13,  202, 1, 3, 720858, 25754.62, 0, 0.00, 1: 121; 2: 30; 3: 7; 
Lymphopoiesis_Regulatory_Network, 608,  7, 12,  202, 1, 3, 668743, 25754.62, 52, 0.00, 1: 120; 2: 32; 3: 6; 
Lymphopoiesis_Regulatory_Network, 304,  6, 14,  202, 1, 3, 668820, 25754.62, 19, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 288,  9,  9,  202, 1, 3, 644760, 25754.62, 18, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 289,  7, 12,  202, 1, 3, 668722, 25754.62, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 809,  7, 13,  202, 1, 3, 720824, 25754.62, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network,  16, 12,  7,  202, 1, 3, 668683, 25754.62, 240, 0.00, 1: 120; 2: 32; 3: 6; 
Lymphopoiesis_Regulatory_Network, 132,  8, 11,  202, 1, 3, 700477, 25754.62, 79, 0.00, 1: 116; 2: 40; 3: 2; 
Lymphopoiesis_Regulatory_Network, 382,  9, 10,  202, 1, 3, 714588, 25754.62, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 751, 11,  8,  202, 1, 3, 700366, 25754.62, 0, 0.00, 1: 115; 2: 42; 3: 1; 
Lymphopoiesis_Regulatory_Network, 996,  6, 16,  202, 1, 3, 748644, 25754.62, 27, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 932, 11,  8,  202, 1, 3, 700473, 25754.62, 18, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 119,  9, 10,  202, 1, 3, 714293, 25754.62, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 885,  7, 13,  203, 1, 3, 720980, 25754.62, 0, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network, 323,  7, 13,  203, 1, 3, 721140, 25754.62, 0, 0.00, 1: 120; 2: 31; 3: 7; 
Lymphopoiesis_Regulatory_Network, 320,  8, 11,  203, 1, 3, 700421, 25754.62, 19, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 695,  9, 10,  203, 1, 3, 714115, 25754.62, 0, 0.00, 1: 120; 2: 31; 3: 7; 
Lymphopoiesis_Regulatory_Network, 392,  9,  9,  203, 1, 3, 644760, 25754.62, 26, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network, 418, 12,  7,  203, 1, 3, 668699, 25754.62, 0, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network, 300,  6, 15,  203, 1, 3, 714338, 25754.62, 79, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network, 666,  7, 12,  203, 1, 3, 668761, 25754.62, 0, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 296,  6, 16,  203, 1, 3, 748270, 25754.62, 18, 0.00, 1: 121; 2: 29; 3: 8; 
Lymphopoiesis_Regulatory_Network, 188, 12,  7,  203, 1, 3, 668716, 25754.62, 10, 0.00, 1: 116; 2: 39; 3: 3; 
Lymphopoiesis_Regulatory_Network, 425, 11,  8,  203, 1, 3, 700213, 25754.62, 0, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network, 949,  7, 13,  203, 1, 3, 720834, 25754.62, 0, 0.00, 1: 120; 2: 31; 3: 7; 
Lymphopoiesis_Regulatory_Network, 276, 11,  8,  203, 1, 3, 700544, 25754.62, 78, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 217,  8, 11,  203, 1, 3, 700523, 25754.62, 0, 0.00, 1: 115; 2: 41; 3: 2; 
Lymphopoiesis_Regulatory_Network, 216,  7, 13,  203, 1, 3, 720797, 25754.62, 16, 0.00, 1: 116; 2: 39; 3: 3; 
Lymphopoiesis_Regulatory_Network, 399,  6, 14,  203, 1, 3, 668645, 25754.62, 0, 0.00, 1: 116; 2: 39; 3: 3; 
Lymphopoiesis_Regulatory_Network, 837,  7, 12,  203, 1, 3, 668744, 25754.62, 0, 0.00, 1: 116; 2: 39; 3: 3; 
Lymphopoiesis_Regulatory_Network, 617, 12,  7,  203, 1, 3, 668731, 25754.62, 0, 0.00, 1: 115; 2: 41; 3: 2; 
Lymphopoiesis_Regulatory_Network,  23,  9,  9,  203, 1, 3, 644760, 25754.62, 0, 0.00, 1: 116; 2: 39; 3: 3; 
Lymphopoiesis_Regulatory_Network, 715,  7, 13,  203, 1, 3, 720988, 25754.62, 0, 0.00, 1: 115; 2: 41; 3: 2; 
Lymphopoiesis_Regulatory_Network, 347, 11,  8,  203, 1, 3, 700496, 25754.62, 0, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network, 903,  7, 12,  203, 1, 3, 668603, 25754.62, 0, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network, 264, 11,  8,  203, 1, 3, 700174, 25754.62, 18, 0.00, 1: 117; 2: 37; 3: 4; 
