Seed 1656949570
ARCH 2|F_ID 2|LIMIT 6
before: 
06(1000)
macrophave_activation, 235, 18, 18,  948, 1, 6, 2616144, 84908.06, 52, 0.00, 1: 274; 2: 146; 3: 51; 4: 28; 5: 15; 6: 7; 
macrophave_activation, 385, 13, 26,  949, 1, 6, 2727116, 84908.06, 0, 0.00, 1: 277; 2: 144; 3: 48; 4: 27; 5: 18; 6: 7; 
macrophave_activation, 519, 17, 19,  949, 1, 6, 2600082, 84908.06, 0, 0.00, 1: 280; 2: 144; 3: 47; 4: 20; 5: 20; 6: 10; 
macrophave_activation, 487, 13, 26,  949, 1, 6, 2727215, 84908.06, 0, 0.00, 1: 275; 2: 142; 3: 54; 4: 26; 5: 20; 6: 4; 
macrophave_activation,  28, 17, 20,  949, 1, 6, 2757811, 84908.06, 218, 0.00, 1: 275; 2: 151; 3: 43; 4: 25; 5: 19; 6: 8; 
macrophave_activation, 140, 19, 17,  949, 1, 6, 2600114, 84908.06, 218, 0.00, 1: 276; 2: 141; 3: 52; 4: 32; 5: 13; 6: 7; 
macrophave_activation, 397, 19, 17,  949, 1, 6, 2600109, 84908.06, 85, 0.00, 1: 274; 2: 153; 3: 41; 4: 24; 5: 24; 6: 5; 
macrophave_activation, 555, 17, 19,  949, 1, 6, 2600084, 84908.06, 52, 0.00, 1: 279; 2: 142; 3: 49; 4: 27; 5: 13; 6: 11; 
macrophave_activation, 499, 15, 22,  949, 1, 6, 2658186, 84908.06, 0, 0.00, 1: 279; 2: 136; 3: 54; 4: 30; 5: 16; 6: 6; 
macrophave_activation, 905, 17, 20,  950, 1, 6, 2757812, 84908.06, 140, 0.00, 1: 272; 2: 151; 3: 48; 4: 25; 5: 18; 6: 7; 
macrophave_activation, 989, 21, 16,  950, 1, 6, 2696035, 84908.06, 85, 0.00, 1: 281; 2: 134; 3: 55; 4: 26; 5: 18; 6: 7; 
macrophave_activation, 155, 17, 19,  950, 1, 6, 2600110, 84908.06, 52, 0.00, 1: 283; 2: 139; 3: 47; 4: 21; 5: 22; 6: 9; 
macrophave_activation, 257, 17, 20,  950, 1, 6, 2757452, 84908.06, 0, 0.00, 1: 277; 2: 139; 3: 55; 4: 26; 5: 18; 6: 6; 
macrophave_activation, 365, 14, 24,  950, 1, 6, 2696331, 84908.06, 85, 0.00, 1: 282; 2: 129; 3: 62; 4: 22; 5: 20; 6: 6; 
macrophave_activation,  99, 17, 20,  950, 1, 6, 2757556, 84908.06, 0, 0.00, 1: 284; 2: 126; 3: 58; 4: 32; 5: 14; 6: 7; 
macrophave_activation, 832, 18, 18,  950, 1, 6, 2616066, 84908.06, 135, 0.00, 1: 268; 2: 152; 3: 55; 4: 26; 5: 11; 6: 9; 
macrophave_activation, 493, 17, 20,  951, 1, 6, 2757556, 84908.06, 85, 0.00, 1: 278; 2: 136; 3: 57; 4: 24; 5: 22; 6: 4; 
macrophave_activation, 416, 21, 16,  951, 1, 6, 2695850, 84908.06, 68, 0.00, 1: 283; 2: 131; 3: 51; 4: 34; 5: 15; 6: 7; 
macrophave_activation, 759, 17, 19,  951, 1, 6, 2600104, 84908.06, 0, 0.00, 1: 273; 2: 149; 3: 47; 4: 28; 5: 17; 6: 7; 
macrophave_activation, 939, 18, 18,  951, 1, 6, 2616156, 84908.06, 52, 0.00, 1: 277; 2: 139; 3: 50; 4: 34; 5: 16; 6: 5; 
macrophave_activation, 184, 17, 20,  951, 1, 6, 2757888, 84908.06, 224, 0.00, 1: 275; 2: 144; 3: 53; 4: 24; 5: 17; 6: 8; 
macrophave_activation, 953, 12, 29,  951, 1, 6, 2820765, 84908.06, 140, 0.00, 1: 285; 2: 137; 3: 43; 4: 28; 5: 17; 6: 11; 
