Seed 1656949570
ARCH 1|F_ID 2|LIMIT 6
before: 
306(1000)
macrophave_activation, 895, 17, 20,  911, 1, 6, 2757721, 75543.10, 0, 0.00, 1: 293; 2: 140; 3: 42; 4: 24; 5: 16; 6: 6; 
macrophave_activation, 770, 21, 16,  911, 1, 6, 2695582, 75543.10, 0, 0.00, 1: 289; 2: 139; 3: 52; 4: 21; 5: 16; 6: 4; 
macrophave_activation, 781, 19, 17,  911, 1, 6, 2600098, 75543.10, 85, 0.00, 1: 293; 2: 140; 3: 41; 4: 24; 5: 19; 6: 4; 
macrophave_activation, 581, 12, 29,  911, 1, 6, 2820433, 75543.10, 0, 0.00, 1: 299; 2: 122; 3: 56; 4: 27; 5: 10; 6: 7; 
macrophave_activation, 555, 17, 19,  911, 1, 6, 2600076, 75543.10, 142, 0.00, 1: 289; 2: 135; 3: 58; 4: 21; 5: 14; 6: 4; 
macrophave_activation, 414, 16, 21,  911, 1, 6, 2695907, 75543.10, 0, 0.00, 1: 307; 2: 127; 3: 31; 4: 31; 5: 17; 6: 8; 
macrophave_activation, 711, 18, 18,  912, 1, 6, 2616130, 75543.10, 0, 0.00, 1: 304; 2: 118; 3: 57; 4: 20; 5: 11; 6: 11; 
macrophave_activation, 609, 16, 21,  912, 1, 6, 2696251, 75543.10, 0, 0.00, 1: 288; 2: 140; 3: 48; 4: 29; 5: 12; 6: 4; 
macrophave_activation, 827, 16, 21,  912, 1, 6, 2696341, 75543.10, 142, 0.00, 1: 296; 2: 129; 3: 51; 4: 27; 5: 11; 6: 7; 
macrophave_activation, 239, 14, 24,  912, 1, 6, 2696242, 75543.10, 0, 0.00, 1: 298; 2: 135; 3: 40; 4: 25; 5: 14; 6: 9; 
macrophave_activation, 805, 13, 26,  912, 1, 6, 2727031, 75543.10, 0, 0.00, 1: 302; 2: 117; 3: 57; 4: 25; 5: 15; 6: 5; 
macrophave_activation, 791, 12, 29,  912, 1, 6, 2820721, 75543.10, 0, 0.00, 1: 294; 2: 136; 3: 46; 4: 23; 5: 16; 6: 6; 
macrophave_activation, 595, 17, 19,  912, 1, 6, 2600093, 75543.10, 0, 0.00, 1: 297; 2: 131; 3: 46; 4: 27; 5: 13; 6: 7; 
macrophave_activation,  28, 17, 20,  912, 1, 6, 2757783, 75543.10, 200, 0.00, 1: 289; 2: 140; 3: 48; 4: 25; 5: 15; 6: 4; 
macrophave_activation, 704, 18, 18,  912, 1, 6, 2616178, 75543.10, 64, 0.00, 1: 295; 2: 132; 3: 51; 4: 22; 5: 14; 6: 7; 
macrophave_activation, 596, 14, 24,  913, 1, 6, 2696108, 75543.10, 0, 0.00, 1: 288; 2: 139; 3: 49; 4: 30; 5: 10; 6: 5; 
macrophave_activation, 108, 21, 16,  913, 1, 6, 2695966, 75543.10, 200, 0.00, 1: 298; 2: 125; 3: 53; 4: 27; 5: 10; 6: 8; 
macrophave_activation, 154, 18, 18,  913, 1, 6, 2616129, 75543.10, 240, 0.00, 1: 288; 2: 143; 3: 46; 4: 26; 5: 11; 6: 7; 
macrophave_activation, 155, 17, 19,  913, 1, 6, 2600097, 75543.10, 142, 0.00, 1: 290; 2: 138; 3: 48; 4: 28; 5: 11; 6: 6; 
macrophave_activation, 365, 14, 24,  913, 1, 6, 2696194, 75543.10, 85, 0.00, 1: 299; 2: 123; 3: 57; 4: 20; 5: 15; 6: 7; 
macrophave_activation, 229, 17, 19,  913, 1, 6, 2600099, 75543.10, 0, 0.00, 1: 296; 2: 131; 3: 42; 4: 35; 5: 13; 6: 4; 
macrophave_activation, 799, 17, 20,  913, 1, 6, 2757652, 75543.10, 0, 0.00, 1: 299; 2: 126; 3: 50; 4: 24; 5: 16; 6: 6; 
macrophave_activation, 122, 17, 20,  913, 1, 6, 2757760, 75543.10, 240, 0.00, 1: 301; 2: 130; 3: 41; 4: 24; 5: 17; 6: 8; 
macrophave_activation, 293, 18, 18,  914, 1, 6, 2616101, 75543.10, 0, 0.00, 1: 282; 2: 150; 3: 45; 4: 25; 5: 17; 6: 2; 
macrophave_activation, 621, 19, 17,  914, 1, 6, 2600114, 75543.10, 85, 0.00, 1: 304; 2: 124; 3: 39; 4: 31; 5: 17; 6: 6; 
macrophave_activation, 787, 17, 19,  914, 1, 6, 2600100, 75543.10, 0, 0.00, 1: 303; 2: 119; 3: 55; 4: 20; 5: 16; 6: 8; 
macrophave_activation, 736, 16, 21,  914, 1, 6, 2696321, 75543.10, 245, 0.00, 1: 294; 2: 130; 3: 51; 4: 30; 5: 9; 6: 7; 
