Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
3(175)
IL-6_Signalling, 799,  9, 10,  211, 1, 3, 720606, 20184.74, 0, 0.00, 1: 95; 2: 46; 3: 8; 
IL-6_Signalling, 417,  8, 11,  211, 1, 3, 704352, 20184.74, 0, 0.00, 1: 97; 2: 42; 3: 10; 
IL-6_Signalling, 463,  8, 11,  211, 1, 3, 704352, 20184.74, 0, 0.00, 1: 96; 2: 44; 3: 9; 
IL-6_Signalling, 347,  6, 15,  212, 1, 3, 720114, 20184.74, 0, 0.00, 1: 95; 2: 45; 3: 9; 
IL-6_Signalling, 344,  6, 17,  212, 1, 3, 796738, 20184.74, 28, 0.00, 1: 97; 2: 41; 3: 11; 
IL-6_Signalling, 800,  7, 13,  212, 1, 3, 727910, 20184.74, 67, 0.00, 1: 95; 2: 45; 3: 9; 
IL-6_Signalling, 369,  7, 13,  212, 1, 3, 727725, 20184.74, 0, 0.00, 1: 96; 2: 43; 3: 10; 
IL-6_Signalling, 440, 11,  8,  212, 1, 3, 704352, 20184.74, 33, 0.00, 1: 95; 2: 45; 3: 9; 
IL-6_Signalling,  38, 11,  8,  212, 1, 3, 704352, 20184.74, 0, 0.00, 1: 95; 2: 45; 3: 9; 
IL-6_Signalling, 282, 10,  9,  212, 1, 3, 720254, 20184.74, 0, 0.00, 1: 95; 2: 45; 3: 9; 
IL-6_Signalling, 412, 10,  9,  213, 1, 3, 720366, 20184.74, 76, 0.00, 1: 94; 2: 46; 3: 9; 
IL-6_Signalling, 462,  8, 11,  213, 1, 3, 704352, 20184.74, 0, 0.00, 1: 95; 2: 44; 3: 10; 
IL-6_Signalling, 988, 11,  8,  213, 1, 3, 704352, 20184.74, 71, 0.00, 1: 91; 2: 52; 3: 6; 
IL-6_Signalling, 547, 10,  9,  213, 1, 3, 720278, 20184.74, 0, 0.00, 1: 96; 2: 42; 3: 11; 
IL-6_Signalling, 525,  6, 15,  214, 1, 3, 720472, 20184.74, 0, 0.00, 1: 95; 2: 43; 3: 11; 
IL-6_Signalling, 877,  7, 14,  214, 1, 3, 774994, 20184.74, 0, 0.00, 1: 92; 2: 49; 3: 8; 
IL-6_Signalling, 555,  8, 11,  214, 1, 3, 704352, 20184.74, 0, 0.00, 1: 94; 2: 45; 3: 10; 
IL-6_Signalling, 758,  7, 13,  217, 1, 3, 728124, 20184.74, 0, 0.00, 1: 91; 2: 48; 3: 10; 
IL-6_Signalling, 712,  8, 11,  199, 1, 4, 704352, 20184.74, 57, 0.00, 1: 105; 2: 39; 3: 4; 4: 1; 
IL-6_Signalling, 909, 10,  9,  199, 1, 4, 720426, 20184.74, 0, 0.00, 1: 103; 2: 44; 4: 2; 
IL-6_Signalling,  80, 11,  8,  199, 1, 4, 704352, 20184.74, 6, 0.00, 1: 103; 2: 43; 3: 2; 4: 1; 
IL-6_Signalling, 927,  7, 13,  200, 1, 4, 727845, 20184.74, 0, 0.00, 1: 107; 2: 34; 3: 7; 4: 1; 
IL-6_Signalling, 751, 11,  8,  200, 1, 4, 704352, 20184.74, 0, 0.00, 1: 104; 2: 40; 3: 4; 4: 1; 
IL-6_Signalling, 260, 10,  9,  200, 1, 4, 720426, 20184.74, 23, 0.00, 1: 103; 2: 42; 3: 3; 4: 1; 
IL-6_Signalling, 784,  9, 10,  201, 1, 4, 720372, 20184.74, 65, 0.00, 1: 103; 2: 41; 3: 4; 4: 1; 
IL-6_Signalling, 155,  7, 13,  201, 1, 4, 728037, 20184.74, 0, 0.00, 1: 105; 2: 37; 3: 6; 4: 1; 
