Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
103(477)
Lymphopoiesis_Regulatory_Network, 449,  9, 10,  204, 1, 3, 714512, 20467.92, 0, 0.00, 1: 114; 2: 42; 3: 2; 
Lymphopoiesis_Regulatory_Network, 496,  9, 10,  204, 1, 3, 714496, 20467.92, 39, 0.00, 1: 115; 2: 40; 3: 3; 
Lymphopoiesis_Regulatory_Network, 479,  7, 13,  204, 1, 3, 721344, 20467.92, 0, 0.00, 1: 120; 2: 30; 3: 8; 
Lymphopoiesis_Regulatory_Network, 965,  8, 11,  204, 1, 3, 700426, 20467.92, 0, 0.00, 1: 120; 2: 30; 3: 8; 
Lymphopoiesis_Regulatory_Network, 214,  9,  9,  204, 1, 3, 644760, 20467.92, 0, 0.00, 1: 117; 2: 36; 3: 5; 
Lymphopoiesis_Regulatory_Network, 454,  7, 13,  204, 1, 3, 720414, 20467.92, 0, 0.00, 1: 115; 2: 40; 3: 3; 
Lymphopoiesis_Regulatory_Network, 996,  6, 16,  204, 1, 3, 748727, 20467.92, 27, 0.00, 1: 117; 2: 36; 3: 5; 
Lymphopoiesis_Regulatory_Network, 208, 11,  8,  204, 1, 3, 699861, 20467.92, 15, 0.00, 1: 117; 2: 36; 3: 5; 
Lymphopoiesis_Regulatory_Network, 254,  8, 11,  204, 1, 3, 700397, 20467.92, 0, 0.00, 1: 117; 2: 36; 3: 5; 
Lymphopoiesis_Regulatory_Network, 207,  6, 15,  204, 1, 3, 713734, 20467.92, 0, 0.00, 1: 118; 2: 34; 3: 6; 
Lymphopoiesis_Regulatory_Network, 400,  7, 13,  204, 1, 3, 721289, 20467.92, 27, 0.00, 1: 120; 2: 30; 3: 8; 
Lymphopoiesis_Regulatory_Network, 317,  6, 15,  204, 1, 3, 714162, 20467.92, 0, 0.00, 1: 117; 2: 36; 3: 5; 
Lymphopoiesis_Regulatory_Network, 626,  8, 11,  204, 1, 3, 700164, 20467.92, 0, 0.00, 1: 119; 2: 32; 3: 7; 
Lymphopoiesis_Regulatory_Network, 677,  8, 11,  204, 1, 3, 700682, 20467.92, 0, 0.00, 1: 120; 2: 30; 3: 8; 
Lymphopoiesis_Regulatory_Network, 298,  7, 13,  204, 1, 3, 721101, 20467.92, 0, 0.00, 1: 117; 2: 36; 3: 5; 
