Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
4(589)
Melhor resultado nxn: IL-6_Signalling, 396,  9, 10,  286, 1, 4, 720332, 62553.50, 27, 0.00, 1: 53; 2: 60; 3: 31; 4: 5; 
IL-6_Signalling, 126,  9, 10,  299, 1, 4, 720375, 62553.50, 0, 0.00, 1: 50; 2: 55; 3: 37; 4: 7; 
IL-6_Signalling,  47,  8, 12,  299, 1, 4, 759980, 62553.50, 0, 0.00, 1: 47; 2: 59; 3: 38; 4: 5; 
IL-6_Signalling, 500, 10,  9,  299, 1, 4, 720295, 62553.50, 78, 0.00, 1: 50; 2: 52; 3: 43; 4: 4; 
IL-6_Signalling, 334, 10,  9,  299, 1, 4, 720358, 62553.50, 0, 0.00, 1: 42; 2: 67; 3: 37; 4: 3; 
IL-6_Signalling, 435,  8, 12,  299, 1, 4, 760051, 62553.50, 0, 0.00, 1: 44; 2: 67; 3: 31; 4: 7; 
IL-6_Signalling, 669, 11,  8,  299, 1, 4, 704352, 62553.50, 0, 0.00, 1: 43; 2: 69; 3: 30; 4: 7; 
IL-6_Signalling, 722,  9, 10,  299, 1, 4, 720372, 62553.50, 0, 0.00, 1: 48; 2: 57; 3: 39; 4: 5; 
IL-6_Signalling, 873, 11,  8,  300, 1, 4, 704352, 62553.50, 0, 0.00, 1: 47; 2: 59; 3: 37; 4: 6; 
IL-6_Signalling, 421,  9, 10,  300, 1, 4, 720375, 62553.50, 0, 0.00, 1: 46; 2: 59; 3: 40; 4: 4; 
IL-6_Signalling, 536,  8, 12,  300, 1, 4, 759993, 62553.50, 43, 0.00, 1: 45; 2: 62; 3: 37; 4: 5; 
IL-6_Signalling, 636,  8, 12,  300, 1, 4, 759971, 62553.50, 75, 0.00, 1: 40; 2: 70; 3: 36; 4: 3; 
IL-6_Signalling, 687,  9, 10,  300, 1, 4, 720356, 62553.50, 0, 0.00, 1: 49; 2: 58; 3: 33; 4: 9; 
IL-6_Signalling, 638, 11,  8,  300, 1, 4, 704352, 62553.50, 0, 0.00, 1: 40; 2: 71; 3: 34; 4: 4; 
IL-6_Signalling, 374,  7, 13,  300, 1, 4, 727855, 62553.50, 0, 0.00, 1: 48; 2: 55; 3: 42; 4: 4; 
IL-6_Signalling, 574, 11,  8,  300, 1, 4, 704352, 62553.50, 0, 0.00, 1: 48; 2: 61; 3: 30; 4: 10; 
