Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(698)
Melhor resultado nxn: Apoptosis_network, 649,  5, 10,   88, 1, 2, 384274, 23464.91, 26, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 877,  4, 12,   94, 1, 2, 371975, 23464.91, 32, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 613,  6,  8,   94, 1, 2, 372058, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 799,  7,  6,   94, 1, 2, 330624, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 551,  9,  5,   94, 1, 2, 352963, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 722,  4, 11,   94, 1, 2, 346132, 23464.91, 36, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 564,  6,  8,   94, 1, 2, 372121, 23464.91, 255, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 942,  5, 10,   94, 1, 2, 384107, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 770,  6,  8,   94, 1, 2, 372245, 23464.91, 36, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 537,  6,  8,   94, 1, 2, 372250, 23464.91, 40, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 853,  6,  8,   94, 1, 2, 372061, 23464.91, 85, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 933,  4, 12,   94, 1, 2, 372446, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 298,  5,  9,   94, 1, 2, 352871, 23464.91, 65, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 373,  9,  5,   94, 1, 2, 353310, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 377,  6,  7,   94, 1, 2, 330624, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network,  65,  6,  7,   94, 1, 2, 330624, 23464.91, 141, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 222,  5, 10,   94, 1, 2, 382887, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 258,  4, 12,   94, 1, 2, 371976, 23464.91, 141, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 972,  4, 12,   94, 1, 2, 371799, 23464.91, 111, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 254,  6,  7,   94, 1, 2, 330624, 23464.91, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 528,  5,  9,   94, 1, 2, 353350, 23464.91, 96, 0.00, 1: 52; 2: 21; 
